Model,MSO54
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.600000e-07
Record Length,81250
Zero Index,5745.281986
Vertical Units,A

TIME,CH3
-8.504451e-04,-7.265625e-01
-8.502851e-04,1.460938e+00
-8.501251e-04,-2.187500e-01
-8.499651e-04,5.312500e-01
-8.498051e-04,1.562500e-01
-8.496451e-04,-1.453125e+00
-8.494851e-04,-1.421875e+00
-8.493251e-04,-1.906250e+00
-8.491651e-04,-8.750000e-01
-8.490051e-04,9.687500e-01
-8.488451e-04,-4.140625e-01
-8.486851e-04,4.140625e-01
-8.485251e-04,6.328125e-01
-8.483651e-04,-1.054688e+00
-8.482051e-04,-8.906250e-01
-8.480451e-04,-6.406250e-01
-8.478851e-04,2.210938e+00
-8.477251e-04,-1.328125e+00
-8.475651e-04,-1.875000e-01
-8.474051e-04,9.062500e-01
-8.472451e-04,1.242188e+00
-8.470851e-04,-4.921875e-01
-8.469251e-04,-1.484375e-01
-8.467651e-04,1.328125e-01
-8.466051e-04,7.265625e-01
-8.464451e-04,1.757812e+00
-8.462851e-04,3.828125e-01
-8.461251e-04,-4.375000e-01
-8.459651e-04,8.984375e-01
-8.458051e-04,-6.015625e-01
-8.456451e-04,-2.734375e-01
-8.454851e-04,-1.210938e+00
-8.453251e-04,1.015625e-01
-8.451651e-04,4.531250e-01
-8.450051e-04,1.390625e+00
-8.448451e-04,1.234375e+00
-8.446851e-04,2.265625e-01
-8.445251e-04,8.203125e-01
-8.443651e-04,2.656250e-01
-8.442051e-04,-6.250000e-02
-8.440451e-04,4.375000e-01
-8.438851e-04,-3.359375e-01
-8.437251e-04,3.125000e-01
-8.435651e-04,-1.382812e+00
-8.434051e-04,3.671875e-01
-8.432451e-04,-1.507812e+00
-8.430851e-04,8.359375e-01
-8.429251e-04,1.539062e+00
-8.427651e-04,4.218750e-01
-8.426051e-04,-1.007812e+00
-8.424451e-04,7.812500e-01
-8.422851e-04,6.875000e-01
-8.421251e-04,-6.250000e-02
-8.419651e-04,4.375000e-01
-8.418051e-04,-5.234375e-01
-8.416451e-04,-5.078125e-01
-8.414851e-04,4.140625e-01
-8.413251e-04,3.750000e-01
-8.411651e-04,-4.062500e-01
-8.410051e-04,-7.578125e-01
-8.408451e-04,3.906250e-01
-8.406851e-04,-1.875000e-01
-8.405251e-04,-8.515625e-01
-8.403651e-04,9.765625e-01
-8.402051e-04,2.265625e-01
-8.400451e-04,1.484375e-01
-8.398851e-04,8.828125e-01
-8.397251e-04,8.437500e-01
-8.395651e-04,2.187500e-01
-8.394051e-04,-4.453125e-01
-8.392451e-04,-1.140625e+00
-8.390851e-04,2.578125e-01
-8.389251e-04,6.406250e-01
-8.387651e-04,4.687500e-01
-8.386051e-04,-1.406250e-01
-8.384451e-04,-7.500000e-01
-8.382851e-04,-8.906250e-01
-8.381251e-04,-1.179688e+00
-8.379651e-04,-8.750000e-01
-8.378051e-04,-2.828125e+00
-8.376451e-04,-5.312500e-01
-8.374851e-04,-1.562500e-01
-8.373251e-04,-4.218750e-01
-8.371651e-04,-5.078125e-01
-8.370051e-04,6.250000e-02
-8.368451e-04,-2.867188e+00
-8.366851e-04,-3.125000e-02
-8.365251e-04,-8.750000e-01
-8.363651e-04,-4.375000e-01
-8.362051e-04,-1.406250e+00
-8.360451e-04,1.648438e+00
-8.358851e-04,-1.718750e-01
-8.357251e-04,-4.218750e-01
-8.355651e-04,2.812500e-01
-8.354051e-04,-2.640625e+00
-8.352451e-04,5.312500e-01
-8.350851e-04,8.281250e-01
-8.349251e-04,1.476562e+00
-8.347651e-04,1.546875e+00
-8.346051e-04,-7.812500e-02
-8.344451e-04,-7.265625e-01
-8.342851e-04,-2.109375e+00
-8.341251e-04,-1.000000e+00
-8.339651e-04,4.609375e-01
-8.338051e-04,2.890625e-01
-8.336451e-04,-2.039062e+00
-8.334851e-04,-2.718750e+00
-8.333251e-04,-1.335938e+00
-8.331651e-04,-4.609375e-01
-8.330051e-04,-8.828125e-01
-8.328451e-04,-1.242188e+00
-8.326851e-04,-4.296875e-01
-8.325251e-04,4.687500e-01
-8.323651e-04,-7.187500e-01
-8.322051e-04,6.093750e-01
-8.320451e-04,6.406250e-01
-8.318851e-04,3.515625e-01
-8.317251e-04,-1.718750e-01
-8.315651e-04,8.046875e-01
-8.314051e-04,4.609375e-01
-8.312451e-04,-2.734375e-01
-8.310851e-04,-9.921875e-01
-8.309251e-04,-8.359375e-01
-8.307651e-04,-5.703125e-01
-8.306051e-04,-4.062500e-01
-8.304451e-04,1.710938e+00
-8.302851e-04,-8.437500e-01
-8.301251e-04,-4.140625e-01
-8.299651e-04,1.953125e-01
-8.298051e-04,-1.171875e+00
-8.296451e-04,1.562500e-02
-8.294851e-04,-3.906250e-01
-8.293251e-04,-8.125000e-01
-8.291651e-04,-1.250000e+00
-8.290051e-04,-4.140625e-01
-8.288451e-04,1.640625e+00
-8.286851e-04,-5.078125e-01
-8.285251e-04,8.828125e-01
-8.283651e-04,9.531250e-01
-8.282051e-04,4.531250e-01
-8.280451e-04,1.140625e+00
-8.278851e-04,-1.914062e+00
-8.277251e-04,-5.078125e-01
-8.275651e-04,-6.250000e-02
-8.274051e-04,7.812500e-01
-8.272451e-04,-4.687500e-02
-8.270851e-04,-8.281250e-01
-8.269251e-04,-2.453125e+00
-8.267651e-04,-1.328125e-01
-8.266051e-04,-1.250000e-01
-8.264451e-04,-8.515625e-01
-8.262851e-04,8.750000e-01
-8.261251e-04,-5.781250e-01
-8.259651e-04,-1.875000e-01
-8.258051e-04,6.562500e-01
-8.256451e-04,2.421875e-01
-8.254851e-04,4.140625e-01
-8.253251e-04,6.562500e-01
-8.251651e-04,1.562500e+00
-8.250051e-04,2.343750e-01
-8.248451e-04,1.757812e+00
-8.246851e-04,2.656250e-01
-8.245251e-04,-2.500000e-01
-8.243651e-04,-8.046875e-01
-8.242051e-04,1.031250e+00
-8.240451e-04,1.218750e+00
-8.238851e-04,-1.132812e+00
-8.237251e-04,3.828125e-01
-8.235651e-04,-1.953125e+00
-8.234051e-04,2.421875e-01
-8.232451e-04,1.320312e+00
-8.230851e-04,-9.687500e-01
-8.229251e-04,3.515625e-01
-8.227651e-04,-2.421875e-01
-8.226051e-04,3.125000e-02
-8.224451e-04,1.656250e+00
-8.222851e-04,-4.218750e-01
-8.221251e-04,2.484375e+00
-8.219651e-04,-1.015625e+00
-8.218051e-04,-4.062500e-01
-8.216451e-04,1.875000e-01
-8.214851e-04,-1.335938e+00
-8.213251e-04,8.593750e-02
-8.211651e-04,2.265625e-01
-8.210051e-04,-1.265625e+00
-8.208451e-04,-1.054688e+00
-8.206851e-04,1.250000e-01
-8.205251e-04,7.812500e-01
-8.203651e-04,5.390625e-01
-8.202051e-04,-5.234375e-01
-8.200451e-04,-6.406250e-01
-8.198851e-04,-6.406250e-01
-8.197251e-04,1.328125e+00
-8.195651e-04,-2.500000e-01
-8.194051e-04,-1.148438e+00
-8.192451e-04,3.906250e-01
-8.190851e-04,7.031250e-02
-8.189251e-04,-2.218750e+00
-8.187651e-04,-2.109375e-01
-8.186051e-04,7.968750e-01
-8.184451e-04,-2.578125e-01
-8.182851e-04,-9.140625e-01
-8.181251e-04,-1.617188e+00
-8.179651e-04,-1.804688e+00
-8.178051e-04,-7.812500e-01
-8.176451e-04,3.046875e-01
-8.174851e-04,-1.875000e-01
-8.173251e-04,-3.984375e-01
-8.171651e-04,-3.515625e-01
-8.170051e-04,-5.937500e-01
-8.168451e-04,-1.250000e-01
-8.166851e-04,-1.070312e+00
-8.165251e-04,-1.132812e+00
-8.163651e-04,-6.640625e-01
-8.162051e-04,6.171875e-01
-8.160451e-04,-1.062500e+00
-8.158851e-04,-1.664062e+00
-8.157251e-04,-1.898438e+00
-8.155651e-04,-2.734375e-01
-8.154051e-04,-1.093750e+00
-8.152451e-04,-4.843750e-01
-8.150851e-04,-5.078125e-01
-8.149251e-04,-2.734375e-01
-8.147651e-04,3.984375e-01
-8.146051e-04,6.640625e-01
-8.144451e-04,-1.406250e-01
-8.142851e-04,-6.250000e-02
-8.141251e-04,2.031250e-01
-8.139651e-04,-5.703125e-01
-8.138051e-04,9.218750e-01
-8.136451e-04,-2.812500e-01
-8.134851e-04,-8.359375e-01
-8.133251e-04,-3.515625e-01
-8.131651e-04,-7.734375e-01
-8.130051e-04,9.375000e-02
-8.128451e-04,6.484375e-01
-8.126851e-04,3.984375e-01
-8.125251e-04,-1.156250e+00
-8.123651e-04,-1.500000e+00
-8.122051e-04,5.390625e-01
-8.120451e-04,1.640625e-01
-8.118851e-04,-6.796875e-01
-8.117251e-04,-2.265625e-01
-8.115651e-04,1.953125e-01
-8.114051e-04,-8.203125e-01
-8.112451e-04,4.062500e-01
-8.110851e-04,-2.812500e-01
-8.109251e-04,-1.476562e+00
-8.107651e-04,-2.039062e+00
-8.106051e-04,3.437500e-01
-8.104451e-04,-1.796875e-01
-8.102851e-04,1.421875e+00
-8.101251e-04,-4.453125e-01
-8.099651e-04,-2.453125e+00
-8.098051e-04,6.406250e-01
-8.096451e-04,5.312500e-01
-8.094851e-04,-2.421875e-01
-8.093251e-04,-8.906250e-01
-8.091651e-04,-4.765625e-01
-8.090051e-04,-1.015625e-01
-8.088451e-04,-8.750000e-01
-8.086851e-04,-2.500000e-01
-8.085251e-04,1.109375e+00
-8.083651e-04,-1.484375e+00
-8.082051e-04,5.625000e-01
-8.080451e-04,8.828125e-01
-8.078851e-04,-1.328125e-01
-8.077251e-04,-2.484375e+00
-8.075651e-04,1.171875e-01
-8.074051e-04,1.953125e-01
-8.072451e-04,5.625000e-01
-8.070851e-04,-3.437500e-01
-8.069251e-04,2.031250e-01
-8.067651e-04,-4.453125e-01
-8.066051e-04,1.351562e+00
-8.064451e-04,-1.726562e+00
-8.062851e-04,6.093750e-01
-8.061251e-04,-1.843750e+00
-8.059651e-04,3.906250e-02
-8.058051e-04,2.343750e-02
-8.056451e-04,7.031250e-02
-8.054851e-04,1.593750e+00
-8.053251e-04,-7.812500e-03
-8.051651e-04,2.187500e-01
-8.050051e-04,1.265625e+00
-8.048451e-04,-1.281250e+00
-8.046851e-04,-1.328125e-01
-8.045251e-04,5.000000e-01
-8.043651e-04,2.367188e+00
-8.042051e-04,-3.984375e-01
-8.040451e-04,-1.117188e+00
-8.038851e-04,1.578125e+00
-8.037251e-04,1.484375e-01
-8.035651e-04,2.031250e+00
-8.034051e-04,-1.921875e+00
-8.032451e-04,-4.218750e-01
-8.030851e-04,-3.203125e-01
-8.029251e-04,-7.500000e-01
-8.027651e-04,-2.171875e+00
-8.026051e-04,6.328125e-01
-8.024451e-04,-3.515625e-01
-8.022851e-04,-1.117188e+00
-8.021251e-04,-1.101562e+00
-8.019651e-04,4.531250e-01
-8.018051e-04,4.687500e-02
-8.016451e-04,-1.117188e+00
-8.014851e-04,-4.531250e-01
-8.013251e-04,-2.578125e-01
-8.011651e-04,-6.953125e-01
-8.010051e-04,-6.250000e-02
-8.008451e-04,7.812500e-02
-8.006851e-04,-7.343750e-01
-8.005251e-04,-4.531250e-01
-8.003651e-04,-6.640625e-01
-8.002051e-04,-3.984375e-01
-8.000451e-04,1.562500e-01
